quarter,product,demand_wafers,revenue_millions,confidence_interval_low,confidence_interval_high,market_segment,process_node,avg_selling_price_usd
2024-09-30,Mobile_SoC_5nm,28579,242.92,23435,33723,Mobile,5nm,8500
2024-09-30,HPC_CPU_5nm,11691,175.36,9586,13795,HPC,5nm,15000
2024-09-30,HPC_GPU_5nm,10571,190.27,8668,12473,HPC,5nm,18000
2024-09-30,Automotive_5nm,6724,43.7,5513,7934,Automotive,5nm,6500
2024-09-30,IoT_7nm,17112,71.87,14032,20192,IoT,7nm,4200
2024-12-31,Mobile_SoC_3nm,26385,329.81,21636,31135,Mobile,3nm,12500
2024-12-31,Mobile_SoC_5nm,36279,308.37,29749,42809,Mobile,5nm,8500
2024-12-31,HPC_CPU_5nm,20352,305.28,16689,24015,HPC,5nm,15000
2024-12-31,HPC_GPU_5nm,10517,189.3,8624,12410,HPC,5nm,18000
2024-12-31,Automotive_5nm,8211,53.37,6733,9689,Automotive,5nm,6500
2024-12-31,IoT_7nm,17197,72.23,14101,20292,IoT,7nm,4200
2025-03-31,Mobile_SoC_3nm,30130,376.62,24706,35553,Mobile,3nm,12500
2025-03-31,Mobile_SoC_5nm,40946,348.04,33576,48316,Mobile,5nm,8500
2025-03-31,HPC_CPU_5nm,19466,291.99,15962,22970,HPC,5nm,15000
2025-03-31,HPC_GPU_5nm,16242,292.36,13319,19166,HPC,5nm,18000
2025-03-31,Automotive_5nm,8308,54.0,6813,9804,Automotive,5nm,6500
2025-03-31,IoT_7nm,20947,87.98,17177,24718,IoT,7nm,4200
2025-06-30,Mobile_SoC_3nm,28539,356.73,23402,33676,Mobile,3nm,12500
2025-06-30,Mobile_SoC_5nm,34235,291.0,28073,40397,Mobile,5nm,8500
2025-06-30,HPC_CPU_5nm,17032,255.47,13966,20097,HPC,5nm,15000
2025-06-30,HPC_GPU_5nm,16914,304.45,13869,19958,HPC,5nm,18000
2025-06-30,Automotive_5nm,5075,32.98,4161,5988,Automotive,5nm,6500
2025-06-30,IoT_7nm,20168,84.71,16538,23798,IoT,7nm,4200
2025-09-30,Mobile_SoC_3nm,24765,309.57,20308,29223,Mobile,3nm,12500
2025-09-30,Mobile_SoC_5nm,29950,254.58,24559,35341,Mobile,5nm,8500
2025-09-30,HPC_CPU_5nm,18457,276.85,15134,21779,HPC,5nm,15000
2025-09-30,HPC_GPU_5nm,14370,258.67,11784,16957,HPC,5nm,18000
2025-09-30,Automotive_5nm,8322,54.09,6824,9820,Automotive,5nm,6500
2025-09-30,IoT_7nm,22824,95.86,18715,26932,IoT,7nm,4200
2025-12-31,Mobile_SoC_3nm,30697,383.72,25172,36223,Mobile,3nm,12500
2025-12-31,Mobile_SoC_5nm,29839,253.63,24468,35210,Mobile,5nm,8500
2025-12-31,HPC_CPU_5nm,20181,302.72,16549,23814,HPC,5nm,15000
2025-12-31,HPC_GPU_5nm,12701,228.61,10415,14987,HPC,5nm,18000
2025-12-31,Automotive_5nm,11645,75.69,9549,13741,Automotive,5nm,6500
2025-12-31,IoT_7nm,21281,89.38,17450,25111,IoT,7nm,4200
2026-03-31,Mobile_SoC_3nm,36378,454.73,29830,42926,Mobile,3nm,12500
2026-03-31,Mobile_SoC_5nm,34497,293.22,28287,40706,Mobile,5nm,8500
2026-03-31,HPC_CPU_5nm,26269,394.04,21541,30998,HPC,5nm,15000
2026-03-31,HPC_GPU_5nm,20454,368.17,16772,24135,HPC,5nm,18000
2026-03-31,Automotive_5nm,13107,85.19,10747,15466,Automotive,5nm,6500
2026-03-31,IoT_7nm,26567,111.58,21785,31349,IoT,7nm,4200
2026-06-30,Mobile_SoC_3nm,30537,381.71,25040,36034,Mobile,3nm,12500
2026-06-30,Mobile_SoC_5nm,36492,310.18,29924,43061,Mobile,5nm,8500
2026-06-30,HPC_CPU_5nm,19877,298.15,16299,23455,HPC,5nm,15000
2026-06-30,HPC_GPU_5nm,23759,427.66,19482,28035,HPC,5nm,18000
2026-06-30,Automotive_5nm,15784,102.6,12943,18625,Automotive,5nm,6500
2026-06-30,IoT_7nm,23744,99.73,19470,28018,IoT,7nm,4200
2026-09-30,Mobile_SoC_3nm,25095,313.69,20578,29613,Mobile,3nm,12500
2026-09-30,Mobile_SoC_5nm,35208,299.26,28870,41545,Mobile,5nm,8500
2026-09-30,HPC_CPU_5nm,18480,277.2,15154,21807,HPC,5nm,15000
2026-09-30,HPC_GPU_5nm,27940,502.91,22910,32969,HPC,5nm,18000
2026-09-30,Automotive_5nm,11742,76.32,9629,13856,Automotive,5nm,6500
2026-09-30,IoT_7nm,20004,84.01,16403,23604,IoT,7nm,4200
2026-12-31,Mobile_SoC_3nm,38344,479.3,31442,45246,Mobile,3nm,12500
2026-12-31,Mobile_SoC_5nm,37334,317.34,30614,44055,Mobile,5nm,8500
2026-12-31,HPC_CPU_5nm,30163,452.44,24733,35592,HPC,5nm,15000
2026-12-31,HPC_GPU_5nm,32292,581.26,26480,38105,HPC,5nm,18000
2026-12-31,Automotive_5nm,20210,131.37,16572,23848,Automotive,5nm,6500
2026-12-31,IoT_7nm,21370,89.76,17524,25217,IoT,7nm,4200
2027-03-31,Mobile_SoC_3nm,38282,478.52,31391,45172,Mobile,3nm,12500
2027-03-31,Mobile_SoC_5nm,39019,331.66,31996,46042,Mobile,5nm,8500
2027-03-31,HPC_CPU_5nm,28663,429.95,23504,33823,HPC,5nm,15000
2027-03-31,HPC_GPU_5nm,26815,482.68,21989,31642,HPC,5nm,18000
2027-03-31,Automotive_5nm,13468,87.54,11044,15892,Automotive,5nm,6500
2027-03-31,IoT_7nm,26252,110.26,21527,30977,IoT,7nm,4200
2027-06-30,Mobile_SoC_3nm,37848,473.11,31036,44661,Mobile,3nm,12500
2027-06-30,Mobile_SoC_5nm,35630,302.85,29216,42043,Mobile,5nm,8500
2027-06-30,HPC_CPU_5nm,29294,439.4,24021,34567,HPC,5nm,15000
2027-06-30,HPC_GPU_5nm,28836,519.06,23646,34027,HPC,5nm,18000
2027-06-30,Automotive_5nm,15021,97.64,12318,17725,Automotive,5nm,6500
2027-06-30,IoT_7nm,30511,128.15,25019,36003,IoT,7nm,4200
2027-09-30,Mobile_SoC_3nm,40884,511.05,33525,48243,Mobile,3nm,12500
2027-09-30,Mobile_SoC_5nm,30799,261.79,25255,36343,Mobile,5nm,8500
2027-09-30,HPC_CPU_5nm,29584,443.76,24259,34909,HPC,5nm,15000
2027-09-30,HPC_GPU_5nm,23823,428.81,19534,28111,HPC,5nm,18000
2027-09-30,Automotive_5nm,26585,172.8,21800,31371,Automotive,5nm,6500
2027-09-30,IoT_7nm,21255,89.27,17429,25081,IoT,7nm,4200
2027-12-31,Mobile_SoC_3nm,35806,447.57,29361,42251,Mobile,3nm,12500
2027-12-31,Mobile_SoC_5nm,36627,311.33,30034,43220,Mobile,5nm,8500
2027-12-31,HPC_CPU_5nm,37923,568.85,31097,44750,HPC,5nm,15000
2027-12-31,HPC_GPU_5nm,42613,767.04,34943,50284,HPC,5nm,18000
2027-12-31,Automotive_5nm,25634,166.62,21020,30248,Automotive,5nm,6500
2027-12-31,IoT_7nm,25634,107.66,21020,30248,IoT,7nm,4200
